Ovary_1	Ovary_2	Ovary_3	Testis_1	Testis_2	Testis_3
8	5	7	350	205	401
70	154	103	119	147	117
271	329	250	117	114	107
0	4	3	1	0	0
65	36	13	7	10	9
86	12	2	14	28	12
0	0	0	1	1	1
9385	10805	5693	882	1490	1087
294	124	89	12	36	10
33	14	4	0	3	3
115	65	34	42	53	40
655	421	182	385	545	450
5	1	1	7286	5855	4785
329	478	263	122	147	103
1	0	3	4720	5151	3393
154	105	81	274	249	209
0	0	2	4	1	3
103	63	69	128	140	136
198	186	83	52	77	60
442	445	175	121	225	138
1	0	0	3	14	4
726	695	319	561	592	434
726	723	411	3074	3266	1138
1587	1249	902	1933	1873	1384
3211	2813	1939	1834	2055	2316
26	21	27	11	8	4
2	6	5	5	1	4
2829	2099	1170	720	693	698
1262	1030	514	428	458	463
120	102	58	82	73	65
178	115	115	149	145	346
1492	1209	592	4372	4450	3070
1890	1706	1025	1359	1324	1296
926	823	530	765	950	736
2	5	1	7	14	23
1640	1950	813	1292	1272	1860
75	39	31	1009	1351	915
235	255	188	194	249	194
0	0	0	0	0	0
0	0	0	0	0	0
2212	2193	1461	1801	1725	1716
664	538	279	345	359	339
304	335	183	293	327	224
1862	2097	1366	2164	1574	1618
32	27	4	198	341	252
6	4	0	318	353	336
3	3	0	37	31	37
720	742	391	16302	19914	15218
105	95	76	122	138	117
3247	3147	1673	4553	7167	5733
210	152	94	134	235	138
1568	1298	831	1134	1288	840
217	190	98	204	276	177
12920	11361	6278	1211	1578	1249
1341	1138	768	441	458	524
366	285	147	1422	1394	1505
30	14	6	8	1	2
4007	3957	2067	1076	1134	916
872	754	447	20	38	21
2812	2206	1712	39	39	37
1	0	1	0	4	0
3	4	4	3	1	3
4	1	2	2	1	2
1	2	0	1	1	2
4	16	5	5	5	3
1908	2253	1009	465	622	463
44	24	15	1966	3102	2043
1771	1328	894	588	666	704
0	0	0	1	4	4
1404	1238	698	448	522	387
126	221	102	644	506	583
0	0	0	60	84	48
3	5	2	2	4	18
2	3	2	3	9	5
8395	6345	4517	104	205	153
1432	1275	817	1525	2218	1631
8	15	13	14	24	13
0	0	0	1	1	0
72	39	11	13	23	13
16	3	16	26	18	17
2047	1953	925	910	885	739
1959	1555	1221	2844	3460	2762
101	121	59	29	19	34
0	1	0	1	1	0
376	383	219	184	227	196
2050	2469	1352	18	5	8
486	511	685	1047	228	865
8	12	14	256	205	209
1304	944	461	375	417	316
3827	3559	1765	4709	5274	3617
1104	1059	593	854	1122	835
49	518	33	0	4	2
0	0	0	0	1	3
0	0	0	11	16	1
0	1	0	3	1	0
0	0	0	5	2	5
0	0	0	21	1	10
0	0	0	2	0	0
0	0	1	2	0	0
0	0	0	3	5	8
0	0	0	0	0	0
424	356	317	23	66	27
636	480	447	4190	6312	4805
390	482	249	204	212	166
2792	1737	1240	207	357	170
3265	3601	1907	3824	5704	3906
2205	2265	747	8087	8013	6428
787	1034	573	739	915	731
554	382	233	182	301	133
774	904	379	445	379	391
547	271	180	807	686	502
6	5	2	0	3	0
749	587	368	18	23	27
5371	4354	2719	529	612	544
1545	1724	855	599	801	675
1928	1745	1003	379	505	403
996	931	504	573	965	556
937	859	488	2035	2534	1945
1591	1399	821	675	1285	998
634	547	364	598	496	565
0	0	0	111	127	166
382	309	250	169	220	210
0	0	0	8	9	6
2519	2269	555	678	826	556
605	681	492	1380	1604	1394
289	194	99	503	724	534
286	209	207	5463	6612	4409
68	67	29	122	166	144
871	764	450	637	830	784
10	14	9	4	5	4
3	0	0	6	11	10
184	156	97	60	72	24
16	4	2	64	140	49
0	0	0	0	0	0
0	0	0	4	2	4
1151	1108	845	96	37	103
0	0	0	2	4	1
0	0	0	7	22	3
747	1204	416	172	147	157
0	0	0	18	18	25
218	299	125	13	11	7
178	269	90	304	653	207
525	617	467	748	725	404
864	901	467	13	70	33
0	0	0	55	51	36
987	1750	720	1179	567	1489
556	517	375	125	115	69
0	0	5	9	14	7
952	796	590	448	669	497
1	0	1	1	0	0
38	26	34	10	7	5
335	233	210	63	59	41
226	307	161	2532	1891	1698
541	479	196	410	433	575
1058	1230	725	1207	2020	1021
1535	1617	980	841	1304	946
960	724	317	464	398	360
39	51	15	10255	11678	7798
1309	624	543	57	195	65
1062	850	458	268	337	275
32	7	7	4381	3554	1976
618	403	201	54	20	7
158	177	108	237	241	139
1119	436	384	1453	2684	1943
1744	1763	979	1989	2144	1672
2472	2526	1351	3574	3580	2826
4427	4395	2551	8402	8880	8354
651	1006	434	624	737	626
1045	683	1158	423	531	219
754	941	368	472	457	398
0	0	0	6	10	7
5	10	1	10	17	6
22	26	11	56	110	88
3313	3026	2689	5489	5985	4395
1892	1423	1024	2063	2605	1661
1121	1027	563	1306	1445	1112
1551	1510	923	552	790	645
41	34	13	1224	1355	525
989	872	515	668	804	641
55	28	26	291	270	212
2486	2802	1852	1510	1287	1145
2044	1445	709	2788	3793	2510
632	609	370	63	86	41
1262	1155	633	677	811	599
493	493	270	309	494	252
1256	1257	782	923	1176	848
835	693	448	1039	1237	1550
9	23	1	8	19	18
431	327	168	175	145	204
1567	1299	865	4293	4535	3409
57	88	14	297	327	251
678	800	418	926	1236	664
661	373	61	161	199	112
4238	3705	2279	1719	2012	1633
4588	3950	3115	527	965	428
28	20	20	126	185	131
1683	1734	927	462	470	348
706	581	392	762	880	601
301	250	192	790	749	792
1244	1279	792	798	698	814
1436	1701	880	517	505	484
21	6	1	194	549	179
344	291	115	75	74	81
806	810	347	301	367	281
6175	5561	2796	1321	1702	1321
272	321	161	2789	1998	2895
628	790	468	959	1019	987
87	52	49	39	44	33
688	658	381	245	299	243
1	0	0	1	6	1
293	347	186	218	358	248
532	485	338	564	734	608
1	1	0	1	0	0
16	16	8	14	19	13
0	0	0	5	4	3
0	2	0	0	2	1
0	0	0	7	4	8
1820	2097	1176	3086	4650	2945
852	835	352	624	891	621
1064	1182	595	251	317	292
3888	3183	1275	3331	3181	3192
8	3	1	0	0	1
0	1	0	0	2	0
0	0	0	1	0	0
0	3	0	2	1	1
943	1220	665	538	744	483
0	0	0	18	12	4
0	0	0	1	0	0
0	0	0	1	3	0
0	0	0	0	6	0
19	10	6	29	40	18
4	5	7	55	57	53
248	93	146	1216	2078	1695
220	345	138	175	187	119
10	20	5	97	73	50
20	17	6	95	78	58
1081	1115	578	595	613	460
551	474	207	648	899	661
1008	1020	606	532	611	434
621	520	344	234	278	244
0	0	0	14	16	16
106	66	55	22	16	14
1693	2294	738	708	466	349
4034	4457	2706	1468	1358	1538
9	9	4	3	0	2
0	0	0	2	0	10
0	1	0	8	5	8
368	430	262	211	284	225
9	67	25	264	223	257
431	372	249	6	19	15
1581	1675	1041	434	330	196
0	0	0	1	0	0
270	315	183	180	192	147
1264	840	583	756	1012	1025
18	116	47	18	30	50
0	1	1	18	11	19
303	289	125	190	788	470
0	3	0	1	2	1
0	1	1	9	5	5
6095	6573	4131	3558	3732	3905
282	191	53	8353	10548	7548
884	896	551	1178	1368	1066
8	9	1	87	127	92
0	3	0	14	18	22
1666	1555	840	398	397	387
0	0	0	1	3	3
0	0	0	0	0	0
0	1	0	13	22	15
1	1	0	11	10	12
246	369	143	557	322	514
0	0	0	141	157	144
3	1	0	5	6	6
0	0	0	4	3	5
1	1	1	6	6	6
70	105	53	2594	1670	1756
381	326	282	254	270	258
1	2	1	34	49	21
0	0	0	0	0	0
0	0	0	43	62	55
0	0	0	5	8	0
0	0	0	4	5	0
119	124	63	22	27	29
40	29	16	1	7	3
1238	1128	594	589	783	641
759	623	292	114	117	108
31	12	15	86	154	33
